Religion/God,AL,Description,Core Values,Taboos,Nationality,Followers (Primary),Allies,Enemies,Temples & Shrines,Holy Texts,Holidays,Alphorisms,Why pick this patron/belief
Abadar,LN,"His primary desire is to see the purifying spread of civilization, enlightening the 
dark corners of the world and revealing the clockwork perfection of the cosmos","Discipline, law, 
keen judgement","Corruption,
Impulsiveness",Taldan,"Aristocrats, artisans, judges, lawyers, 
merchants and politicians. ","Iomedae, Irori,
Shelyn, Asmodeus","Norgorber, Rovagug,
Lamashtu, Gorum","Elaborate buildings with rich decorations. 
Many temples also serves as a bank. ","The Order of Numbers, 
The Manual of City-Building","Market’s Door,
Taxfest","""So It Is Judged""
""This Can Help Us All""",You want what's best for civilization
Asmodeus,LE,"Asmodeus is a god of rigid hierarchies, imposing systems where every creature knows its 
place, the strong rule over lesser beings, and the weak are properly subservient to their 
superiors. He is an omnipotent tyrant who creates and destroys as he sees fit.","Natural order
Obedience
The law","Breaking a
contract",Devil,"Power-hungry priests, diabolists, 
greedy slavers, ruthless lawyers, 
wicked enchanters, decadent nobles","Willing to deal 
with any god ","...except for
Lamashtu
Rovagug","Share space with bureaucracy
Distinctly gothic, diabolical aesthetic
Shrines are simple things like stones",Asmodean Monograph,"Counterpart to the holy days 
of opposing good faiths","""Great Is Asmodeus""
""Lend Me Your Might""
""The Kingdom Shall Be His""","You belive in hierarchies where the strong rules over the weak. 
You want the power that Asmodeus can give you."
Calistria,CN,"Welcomes the worship of any mortal who lusts, deceives, or seeks revenge; she hears the 
prayers of the good, evil, unjustly accused, selfish, moral, criminal, and love-struck alike","Lust, trickery
and revenge","Too strict 
relationships",Elf,"Prostitutes, spies, hedonists, 
enchanters, and illusionists.","Shelyn
Cayden Cailean",-,"Converted mansion with many rooms 
that can be locked for privacy.",The Book of Joy,No set holidays,"""I Stab Thee With My Heart""
""Love the Food, Not the Chef""","You like the elven ways of noncommitment
You want her help with lust, trickery and/or revenge"
Cayden Cailean,CG,"Cayden Cailean is one of the Ascended, a mortal man who became a god after passing the
grueling tests of the magical Starstone. Three days after entering the Cathedral of the 
Starstone on a drunken dare, the good-natured sellsword emerged a living god.","Bravery
Enjoy drinking
Freedom","Slavery and 
other mean 
stuff",Taldan,"Common folk who seek simple 
contentment in their daily lives, like to 
have a drink with their friends.","Desna
Sarenrae
Shelyn",Asmodeus,"Alehouses, breweries, feast halls, 
small inns bearing a shrine to him above 
the bar.",Placard of Wisdom,"Ascension Day
First Brewing
Merrymead","""In Cayden’s Name""
""Sweet Barleybrew!""
""By the Light of the Starstone""","The world is too big and life is too short and sweet to waste any time 
whining about. Looking to right wrongs and explore the world at your own 
discretion"
Desna,CG,"Desna is an impulsive and aloof goddess who delights in freedom, discovery, and mystery. 
Her aloofness stems not from arrogance, but from confidence in her own abilities and her 
desire to be unburdened by troubles.","Freedom 
Discovery
Dreams
Travel",Nightmare spell,Varisian,"Clerics, bards, rogues, rangers, 
artists, writers, fortune-tellers, 
entertainers and occasionally druids","Cayden Cailean
Sarenrae
Shelyn","Lamashtu
Ghlaunder
Zon-Kuthon
Rovagug","Unattended shrines at crossroads and 
places of secluded beauty, like hilltops
or peninsula points. Hold simple 
provisions and a place to scrawl notes.","The Eight Scrolls
Shrine Writings","Ritual of Stardust
Swallowtail Release","""Be Ready for Challenges and Unexpected Friends""
""Feet Are for Walking""
""Follow a Hunch, but Bear the Consequences""
""Learn from What Is Different""","Those who follow Desna follow their dreams. They accept and cherish the
world’s surprises, but sometimes see the world not as it is, but as it could 
be. They express themselves freely, whether through voice, dance, music, 
or art, regardless of whether they’re any good at it."
Erastil,LG,"A nature deity focusing on the plants and animals that farmers, hunters, and ranchers deal 
with in their challenging lives. Also a god of close-knit communities and families, and has a 
protector aspect that only surfaces when such things are threatened.","Community
Live in peace
Marriage","Adultery
Divorce",Ulfen,"Farmer, rancher, village artisan, or 
hunter who wants to live her life, take 
care of her family, and not worry.",Nonevil deities,"Urgathoa (main)
Lamashtu
Rovagug","Simple wooden building, longhouse, or 
even town hall that serves a rural 
community as a gathering place.",Parables of Erastil,Archerfeast,"""Never Trust a Fool""
""Nothing Is More Satisfying Than the Fruits of a Day’s Labor""",You have a strong desire to keep your community safe
Gorum,CN,"He believes in strength and power, the verdict of the sword, and the music of clashing iron. 
He does not favor good or evil, and the only right he confers upon mortals is the right to
fight for their next breath. ","Melee combat
Battle-lust
Iron","Flee from battle
Betray ally",Kellid,"Soldier, mercenary, brigand, or 
bloodthirsty raider, or even a smith
who crafts the tools of war. ","Asmodeus
Besmara",Urgathoa,"Temples are more akin to fortresses than
to places of worship. Thick walls, iron 
gates, internal forges and stables.",Gorumskagat,None,"""Better to Die a Warrior Than Live a Coward""
""Cowards Flee, Warriors Retreat""
""Will You Fight?""","Gorumites venture forth to improve their battle skills, challenge particularly
revered or infamous champions, to obtain famous weapons or armor, 
or simply to find opportunities to enjoy the sound of their blades singing."
Gozreh,N,"When at sea or over water, Gozreh is a woman with wild, flowing green hair, whose body 
transforms into endless waves. In the sky and over land, Gozreh appears as an aged man
with a long white beard, emerging from a mighty storm cloud.",Circle of life,"Pollute water
Clear-cut forests
Abuse creatures",Mwangi,"Sailors, merchants who ship goods 
between ports, and farmers. Druids, 
clerics and rangers. ","Desna, Erastil,
Green Faith, Eldest 
of the First World","Abadar, 
Urgathoa,
Rovagug, Nethys","Temples are always open to the sky and 
generally contain some sort of pool or 
open water at their heart.","Hymns to the Wind 
and the Waves","Currentseve (7 Gozran) 
Firstbloom (Vernal Equinox)","""Drink Deep, Think Fast""
""Last Gasp of the Sky/Dark Blood of the Sea""
""Storm and Salt!""","You appreciate nature, and want to spend a great deal of time in the 
outdoors to study its beauty and understand your place in it."
Iomedae,LG,"At just over 900 years old, Iomedae is the youngest of the major deities of Golarion, and 
has only begun to reach her full potential as an independent deity in the last century. She is
a righteous knight, fearless in fighting for her beliefs, and a missionary and crusader on 
behalf of the benign sovereignty of good and merciful justice for evil.","Honor
Justice for all
Rulership
Valor
Eliminate evil","Injustice
Dishonour
Evil acts",Cheliaxian,"All priests are clerics or paladins, 
although she has many rangers, 
inquisitors, and cavaliers serving the 
church in important roles, as well as a 
wide variety of lay worshipers.","Abadar, Milani,
Cayden Cailean
Erastil
Sarenrae
Shelyn and Torag",All evil,"Temples are whitewashed buildings that 
double as courts and living space for holy
knights. Each has at least one fortified 
tower or wing that is easily defensible 
even if the rest of the structure is razed.",The Acts of Iomedae,"The Inheritor’s Ascendance (1A)
Armasse (16 Arodus)
Day of the Inheritor (19 Rova)
Ascendance Day (6 Lamashan)
Remembrance Moon (Desnus)","""For Victory, For the Heart""","To follow Iomedae is to tolerate neither chaos nor evil, and to vow to stamp 
them out wherever they arise. Her faithful travel the world to find uprisings 
of evil, and are willing and able to serve and to lead; they have forthright 
attitudes and have no patience for lying, fraud, or deceit. "
Irori,LN,"Irori was once a mortal man whose intense discipline allowed him to attain enlightenment 
and divinity through physical, mental, and spiritual perfection. Also god of knowledge. ","Discipline
Self-perfection","Corruption of
accomplishments",Vudrani,"His primary worshipers are mystics, 
ascetics, and martial artists.","Avoid interfering
with divine beings","Asmodeus
Norgorber","Sprawling complexes that function as 
self-sufficient temples and monasteries.",Unbinding the Fetters,"Countless holidays, which 
vary from sect to sect. ","""Endure and Renew""
""Mastery without Form""","You have a deep desire to explore the hidden talents locked within your 
body, seeking such secrets either within yourself or by exploring the world."
